DateTime,Gold,Bonds,S&P 500
2012-07-31,1622.75,2392.89,1379.32
2012-08-31,1657.75,2402.45,1406.58
2012-09-28,1781.0,2419.6,1440.67
2012-10-31,1718.0,2452.05,1412.16
2012-11-30,1728.25,2450.04,1416.18
2012-12-31,1664.0,2449.56,1426.19
2013-01-31,1674.5,2431.99,1498.11
2013-02-28,1591.0,2449.18,1514.68
2013-03-29,1602.5,2450.21,1569.19
2013-04-30,1472.75,2492.46,1597.57
2013-05-31,1410.25,2435.61,1630.74
2013-06-28,1203.25,2367.81,1606.28
2013-07-31,1331.5,2385.89,1685.73
2013-08-30,1392.75,2367.56,1632.97
2013-09-30,1335.75,2389.46,1681.55
2013-10-31,1333.75,2425.22,1756.54
2013-11-29,1245.25,2417.95,1805.81
2013-12-31,1201.5,2413.9,1848.36
2014-01-31,1246.5,2456.97,1782.59
2014-02-28,1327.75,2483.93,1859.45
2014-03-31,1294.0,2485.7,1872.34
2014-04-30,1292.0,2514.68,1883.95
2014-05-30,1254.0,2553.09,1923.57
2014-06-30,1313.0,2557.41,1960.23
2014-07-31,1295.0,2554.4,1930.67
2014-08-29,1285.75,2590.55,2003.37
2014-09-30,1210.0,2558.64,1972.29
2014-10-31,1173.25,2582.52,2018.05
2014-11-28,1184.5,2598.33,2067.56
2014-12-31,1199.25,2595.28,2058.9
2015-01-30,1263.5,2666.36,1994.99
2015-02-27,1205.0,2643.21,2104.5
2015-03-31,1179.25,2653.93,2067.89
2015-04-30,1204.3,2639.76,2085.51
2015-05-29,1190.4,2626.12,2107.39
2015-06-30,1175.0,2583.36,2063.11
2015-07-31,1080.05,2597.28,2103.84
2015-08-31,1125.5,2579.86,1972.18
2015-09-30,1122.5,2593.38,1920.03
2015-10-30,1147.75,2607.24,2079.36
2015-11-30,1055.65,2601.44,2080.41
2015-12-31,1062.25,2578.89,2043.94
2016-01-29,1112.9,2589.9,1940.24
2016-02-29,1234.15,2609.23,1932.23
2016-03-31,1233.6,2680.05,2059.74
2016-04-29,1274.5,2716.21,2065.3
2016-05-31,1210.5,2714.74,2096.95
2016-06-30,1317.0,2773.91,2098.86
2016-07-29,1332.5,2813.84,2173.6
2016-08-31,1314.45,2821.85,2170.95
2016-09-30,1327.9,2813.72,2168.27
2016-10-31,1271.5,2790.43,2126.15
2016-11-30,1170.800048828125,2715.67,2198.81
2016-12-30,1150.0,2732.63,2238.83
2017-01-31,1208.5999755859375,2743.87,2278.87
2017-02-28,1252.5999755859375,2774.91,2363.64
2017-03-31,1247.300048828125,2771.49,2362.72
2017-04-28,1266.0999755859375,2798.54,2384.2
2017-05-31,1272.0,2831.68,2411.8
2017-06-30,1240.699951171875,2838.63,2423.41
2017-07-31,1266.5999755859375,2859.84,2470.3
2017-08-31,1316.199951171875,2884.06,2471.65
2017-09-29,1281.5,2877.18,2519.36
2017-10-31,1267.0,2889.09,2575.26
2017-11-30,1273.199951171875,2885.04,2647.58
2017-12-29,1306.300048828125,2909.33,2673.61
2018-01-31,1339.0,2882.75,2823.81
2018-02-28,1315.5,2839.61,2713.83
2018-03-30,1322.800048828125,2845.41,2640.87
2018-04-30,1316.199951171875,2821.48,2648.05
2018-05-31,1300.0999755859375,2834.18,2705.27
2018-06-29,1251.300048828125,2818.58,2718.37
2018-07-31,1223.699951171875,2839.77,2816.29
2018-08-31,1200.300048828125,2855.22,2901.52
2018-09-28,1191.5,2845.3,2913.98
2018-10-31,1212.300048828125,2807.48,2711.74
2018-11-30,1220.199951171875,2802.12,2760.17
2018-12-31,1278.300048828125,2844.18,2506.85
2019-01-31,1319.699951171875,2903.72,2704.1
2019-02-28,1312.800048828125,2914.16,2784.49
2019-03-29,1293.0,2986.39,2834.4
2019-04-30,1282.800048828125,3003.35,2945.83
2019-05-31,1305.800048828125,3046.43,2752.06
2019-06-28,1409.699951171875,3115.84,2941.76
2019-07-31,1426.0999755859375,3136.92,2980.38
2019-08-30,1519.0999755859375,3232.08,2926.46
2019-09-30,1465.699951171875,3212.17,2976.74
2019-10-31,1511.4000244140625,3231.82,3037.56
2019-11-29,1465.5999755859375,3238.49,3140.98
2019-12-31,1519.5,3249.02,3230.78
2020-01-31,1582.9000244140625,3326.21,3225.52
2020-02-28,1564.0999755859375,3368.46,2954.22
2020-03-31,1583.4000244140625,3117.32,2584.59
2020-04-30,1684.199951171875,3281.69,2912.43
2020-05-29,1736.9000244140625,3338.72,3044.31
2020-06-30,1793.0,3406.35,3100.29
2020-07-31,1962.800048828125,3513.67,3271.12
2020-08-31,1967.5999755859373,3473.12,3500.31
2020-09-30,1887.5,3463.95,3363.0
2020-10-30,1877.4000244140625,3457.93,3269.96
2020-11-30,1775.699951171875,3550.19,3621.63
2020-12-31,1893.0999755859373,3567.63,3756.07
2021-01-29,1847.300048828125,3523.78,3714.24
2021-02-26,1728.0999755859375,3453.9,3811.15
2021-03-31,1713.800048828125,3407.27,3972.89
2021-04-30,1767.300048828125,3447.81,4181.17
2021-05-31,1902.5,3472.02,4204.11
2021-06-30,1770.800048828125,3529.82,4297.5
2021-07-30,1812.5999755859373,3572.44,4395.26
2021-08-31,1815.0,3565.44,4522.68
2021-09-30,1755.300048828125,3527.75,4307.54
2021-10-29,1783.0,3536.24,4605.38
2021-11-30,1773.5999755859375,3539.8,4567.0
2021-12-31,1827.5,3533.73,4766.18
2022-01-31,1795.0,3423.31,4515.55
2022-02-28,1899.4000244140625,3348.65,4373.94
2022-03-31,1949.199951171875,3260.28,4530.41
2022-04-29,1909.300048828125,3097.87,4131.93
2022-05-31,1842.699951171875,3114.77,4132.15
2022-06-30,1804.0999755859373,3041.57,3785.38
2022-07-29,1762.9000244140625,3130.93,4130.29
2022-08-31,1712.800048828125,3047.93,3955.0
2022-09-30,1662.4000244140625,2886.14,3585.62
2022-10-31,1635.9000244140625,2853.97,3871.98
2022-11-30,1746.0,2994.31,4080.11
2022-12-30,1819.699951171875,2987.87,3839.5
2023-01-31,1929.5,3104.17,4076.6
2023-02-28,1828.9000244140625,3013.75,3970.15
2023-03-31,1969.0,3090.99,4109.31
2023-04-28,1990.0999755859373,3116.49,4169.48
2023-05-31,1963.9000244140625,3075.79,4179.83
2023-06-30,1921.0999755859373,3084.54,4450.38
2023-07-31,1970.5,3097.91,4588.96
2023-08-31,1938.199951171875,3076.76,4507.66
2023-09-29,1848.0999755859373,3001.01,4288.05
2023-10-31,1985.199951171875,2946.76,4193.8
2023-11-30,2038.0999755859373,3112.98,4567.8
2023-12-29,2062.399902,3238.5,4769.83
2024-01-31,2048.399902,3243.69,4845.65
2024-02-29,2045.699951171875,3198.37,5096.27
2024-03-29,2217.399902,3235.5,5254.35
2024-04-30,2291.399902,3160.95,5035.69
2024-05-31,2322.899902,3219.53,5277.51
2024-06-28,2327.699951171875,3239.27,5460.48
2024-07-31,2426.5,3316.66,5522.3
2024-08-30,2493.800048828125,3367.37,5648.4
2024-09-30,2691.800048828125,3436.34,5762.48
2024-10-31,2512.300048828125,3423.62,
2024-11-29,2512.100098,3421.37,
2024-12-31,2551.199951171875,3419.48,
