Asset,n,Regime,Average Return,Volatility,Sharpe Ratio,Max Drawdown
Gold,24,3,0.012134910754778586,0.07515909156675725,0.1614563255331553,-0.2626666666666667
Gold,24,4,0.01870429486584474,0.0503955059728998,0.37115005603680173,-0.11727275250667944
Bonds,24,1,0.0035937666067044215,0.018271287840016966,0.1966892885806064,-0.20111464433272513
Bonds,24,2,0.006896509078346988,0.017223330466480186,0.40041669593281515,-0.15645807492568775
Bonds,24,3,0.0006018808778056534,0.02284170401324647,0.026350086554689955,-0.14319054070992424
Bonds,24,4,0.00800629428730422,0.02300411262850805,0.3480375190557165,-0.13120581840154522
S&P 500_asset,24,1,0.005616428729021521,0.045263387379238615,0.12408326142196024,-0.5457732560033914
S&P 500_asset,24,2,0.012140013833912446,0.03673287064386229,0.33049455762970503,-0.24399242946759955
S&P 500_asset,24,3,-0.00133409170305347,0.05574601860121029,-0.023931605099857405,-0.5802269666499892
S&P 500_asset,24,4,-0.0020672158934880434,0.0926116370761927,-0.02232134058689968,-0.792700046794572
Gold,30,1,0.0041050240947304775,0.05696318267954405,0.07206451433417932,-0.6027397925503232
Gold,30,2,0.007535938482559639,0.05356724458369362,0.14068183908144588,-0.42246520874751503
Gold,30,3,0.010156269308485425,0.07182236389486307,0.1414081736901983,-0.3173333333333333
Gold,30,4,0.021870262086540776,0.04246876752728012,0.5149728461625889,-0.09450519778587828
Bonds,30,1,0.0032109500435461495,0.01856558987044015,0.17295168459250385,-0.20111464433272525
Bonds,30,2,0.0065143127600715564,0.01799727891065247,0.36196098268031945,-0.0780414874434845
Bonds,30,3,0.0008735238636562003,0.023968756295494734,0.03644427157116999,-0.15754768525009466
Bonds,30,4,0.011080302910514143,0.01799783348455841,0.6156464843405016,-0.04366894567395992
S&P 500_asset,30,1,0.004150759666957525,0.04337942460354034,0.09568498671646206,-0.5442644475767641
S&P 500_asset,30,2,0.012847098274902113,0.037103892538076354,0.34624664411471934,-0.24083546563879168
S&P 500_asset,30,3,-0.001681762331528713,0.05470184217207573,-0.03074416262323285,-0.46334243276697673
S&P 500_asset,30,4,0.0002873744002984637,0.09418722596385548,0.0030510974004982817,-0.7931860959228378
Gold,36,1,0.006326396361074816,0.05833562005502271,0.1084482577729987,-0.6125754632907517
Gold,36,2,0.007409345551910506,0.05229368696506559,0.1416871898296302,-0.42246520874751503
Gold,36,3,0.004366255657250234,0.0615434566073408,0.07094589576123084,-0.332
Gold,36,4,0.017561522363856687,0.05737929335210681,0.3060602760666776,-0.20790870209365214
Bonds,36,1,0.00388800421918779,0.01861667479375291,0.20884525632324333,-0.20111464433272522
Bonds,36,2,0.006200255260887946,0.017923968300635116,0.3459197849991872,-0.07455632544248705
Bonds,36,3,0.0017933199847950097,0.02251283779979803,0.07965766025334656,-0.0825069611784863
Bonds,36,4,0.008520762810057982,0.020220551775458586,0.4213912115098421,-0.08793270474257694
S&P 500_asset,36,1,0.005562733278411202,0.04208468011663668,0.13217953095982246,-0.4911418049235673
S&P 500_asset,36,2,0.01239101734470892,0.042890629670393095,0.2888980049939042,-0.4436635354961377
S&P 500_asset,36,3,-0.0035002932106937513,0.05461144910727312,-0.06409449424823237,-0.6144027834049741
S&P 500_asset,36,4,-0.0002272656257730571,0.08690051020435496,-0.0026152392573831843,-0.7773488352010698
Gold,42,1,0.007957667859068127,0.05454832872448766,0.14588289036792793,-0.54877715435659
Gold,42,2,0.007578089265759779,0.05700601475684128,0.13293490692313892,-0.4224652087475152
Gold,42,3,-0.004532584682968393,0.06548010060011537,-0.06922079595828243,-0.5283453289902464
Gold,42,4,0.01800487338014458,0.05016817300510902,0.3588903542154306,-0.1377327491785324
Bonds,42,1,0.0029133632520422586,0.019232999760544264,0.15147731962327102,-0.23530256119838316
Bonds,42,2,0.007040748115830326,0.017168888719628184,0.41008758521342453,-0.060356614278666884
Bonds,42,3,0.004718692668422368,0.025059344953074072,0.1883007188439504,-0.14162276584167
Bonds,42,4,0.00851937373135911,0.017774048258907594,0.47931532576376146,-0.043668945673959805
S&P 500_asset,42,1,0.006432438993197504,0.03881166193560916,0.16573469602691326,-0.29859210849950435
