DateTime,Total Return Bond Index
01.05.1925 00:00,
01.06.1925 00:00,
01.07.1925 00:00,
01.08.1925 00:00,
01.09.1925 00:00,
01.10.1925 00:00,
01.11.1925 00:00,
01.12.1925 00:00,
01.01.1926 00:00,23.8101942
01.02.1926 00:00,
01.03.1926 00:00,
01.04.1926 00:00,
01.05.1926 00:00,
01.06.1926 00:00,
01.07.1926 00:00,
01.08.1926 00:00,
01.09.1926 00:00,
01.10.1926 00:00,
01.11.1926 00:00,
01.12.1926 00:00,
01.01.1927 00:00,25.9015866
01.02.1927 00:00,
01.03.1927 00:00,
01.04.1927 00:00,
01.05.1927 00:00,
01.06.1927 00:00,
01.07.1927 00:00,
01.08.1927 00:00,
01.09.1927 00:00,
01.10.1927 00:00,
01.11.1927 00:00,
01.12.1927 00:00,
01.01.1928 00:00,28.0991576
01.02.1928 00:00,
01.03.1928 00:00,
01.04.1928 00:00,
01.05.1928 00:00,
01.06.1928 00:00,
01.07.1928 00:00,
01.08.1928 00:00,
01.09.1928 00:00,
01.10.1928 00:00,
01.11.1928 00:00,
01.12.1928 00:00,
01.01.1929 00:00,28.2746606
01.02.1929 00:00,
01.03.1929 00:00,
01.04.1929 00:00,
01.05.1929 00:00,
01.06.1929 00:00,
01.07.1929 00:00,
01.08.1929 00:00,
01.09.1929 00:00,
01.10.1929 00:00,
01.11.1929 00:00,
01.12.1929 00:00,
01.01.1930 00:00,29.5037612
01.02.1930 00:00,
01.03.1930 00:00,
01.04.1930 00:00,
01.05.1930 00:00,
01.06.1930 00:00,
01.07.1930 00:00,
01.08.1930 00:00,
01.09.1930 00:00,
01.10.1930 00:00,
01.11.1930 00:00,
01.12.1930 00:00,
01.01.1931 00:00,31.5339301
01.02.1931 00:00,
01.03.1931 00:00,
01.04.1931 00:00,
01.05.1931 00:00,
01.06.1931 00:00,
01.07.1931 00:00,
01.08.1931 00:00,
01.09.1931 00:00,
01.10.1931 00:00,
01.11.1931 00:00,
01.12.1931 00:00,
01.01.1932 00:00,25.7533661
01.02.1932 00:00,
01.03.1932 00:00,
01.04.1932 00:00,
01.05.1932 00:00,
01.06.1932 00:00,
01.07.1932 00:00,
01.08.1932 00:00,
01.09.1932 00:00,
01.10.1932 00:00,
01.11.1932 00:00,
01.12.1932 00:00,
01.01.1933 00:00,27.51492
01.02.1933 00:00,
01.03.1933 00:00,
01.04.1933 00:00,
01.05.1933 00:00,
01.06.1933 00:00,
01.07.1933 00:00,
01.08.1933 00:00,
01.09.1933 00:00,
01.10.1933 00:00,
01.11.1933 00:00,
01.12.1933 00:00,
01.01.1934 00:00,31.7567356
01.02.1934 00:00,
01.03.1934 00:00,
01.04.1934 00:00,
01.05.1934 00:00,
01.06.1934 00:00,
01.07.1934 00:00,
01.08.1934 00:00,
01.09.1934 00:00,
01.10.1934 00:00,
01.11.1934 00:00,
01.12.1934 00:00,
01.01.1935 00:00,37.497624
01.02.1935 00:00,
01.03.1935 00:00,
01.04.1935 00:00,
01.05.1935 00:00,
01.06.1935 00:00,
01.07.1935 00:00,
01.08.1935 00:00,
01.09.1935 00:00,
01.10.1935 00:00,
01.11.1935 00:00,
01.12.1935 00:00,
01.01.1936 00:00,40.8476359
01.02.1936 00:00,
01.03.1936 00:00,
01.04.1936 00:00,
01.05.1936 00:00,
01.06.1936 00:00,
01.07.1936 00:00,
01.08.1936 00:00,
01.09.1936 00:00,
01.10.1936 00:00,
01.11.1936 00:00,
01.12.1936 00:00,
01.01.1937 00:00,44.5783178
01.02.1937 00:00,
01.03.1937 00:00,
